bugid,sd,rs
550000,PDE quickfix creates invalid @Since tag,1
550002,Add relation information to REST-API,1
550004,"Inline method refacting reports ""Inaccurate references to method found""",0
550005,Call Hierarchy incorrectly includes binary artifacts,0
550008,UI freezes in PluginsView,1
550009,UI freeze in org.eclipse.ui.dialogs.FilteredTree,1
550010,CPD dialog should have a consistent usage of setUseHashlookup for menu and action tree viewer,1
550011,"OpenJ9: Git failing on master, builds blocked",1
550012,OpenJ9 Badge plugin not working,1
550013,OpenJ9 Pull requests flooded with comments from Jenkins,1
550016,Remove ResourceNavigator from Show-in menu,1
550017,[StyledText] Disabling StyledText moves insertion position to 0,1
550018,Project Explorer loses last selected working set,0
550019,Go build on Codewind failed with signal killed,0
550020,quick search preview area too small,1
550021,Wrong tooltips quicksearch preference page,1
550023,Use setUseHashlookup in internal org.eclipse.e4.ui.dialogs.filteredtree.FilteredTree,1
550024,Update find_strings query to show detailed progress,1
550025,OpenJ9 CI IOException: cannot allocation memory for RandomAccessFile,1
550026,Use e4 FilteredTree in LogView,1
550027,Use e4 FilteredTree in ShowView dialog,0
550028,Use e4 FilteredTree in InstalledIUGroup,1
550029,multiple layout issues in launch configuration dialog,0
550030,Release e4 FilteredTree as API,1
550031,[Quicksearch] superfluous slash in path,1
550033,Redirect to relative path is blocked,1
550035,Remove unnecessary activator WebBrowserTestsPlugin,1
550036,Update application model code (EMF) with the fixes for Bug 548575 and Bug 546714,1
550037,Use StringBuilder instead of StringBuffer in eclipse.platform.ua,1
550038,Investigate if forced activation in InternalPlatform#start is still necessary,1
550039,Y build showing comparator error in platform.ua for jsp files,0
550040,Eclipse Genie fails to create CQ repeatedly,1
550042,[Quicksearch] Ignored file extensions must be checked case insensitive,1
550043,Release preparations for v0.7.0,1
550044,2 compile warnings in official build,1
550047,EASE JIPP does not trigger on gerrit commits,1
550048,"Remove ""Are you sure you want to "" from text",0
550049,"Remove ""Are you sure you want to "" from text",1
550050,All coonections are black in the editor that is open at start,1
550051,Engine termination should be improved,1
550052,"Remove ""Are you sure you want to "" from text",1
550053,http://www.eclipse.org/QVT/1.0.0/Operational is not properly registered.,1
550054,Update PDE templates to not use deprecated AbstractUIPlugin#imageDescriptorFromPlugin,1
550056,[Quicksearch] Missing menu item for Quick Text Search,0
550057,[Quicksearch] The Quick Text Search dialog and menu item are missing mnemonics,1
550058,[Quicksearch] Name mismatch in UI and N&N,1
550059,[styled text] Typing ~~ in combination with ²&~# inserts é~~,1
550060,Run the new Use Autoboxing - Use Unboxing cleanup on eclipse.platform.ui,0
550061,Change Title bar of systemconfiguration editor to better indicate that it is the system configuration,1
550062,Use ArrayDeque rather than Stack,1
550063,ClassFile.addFieldInfos throws ArrayIndexOutOfBoundsException,1
550064,Creating new Application in default System(Project),1
550065,Please include setup for project Eclipse Capra,1
550066,Tracking bug for inclusion of Eclipse Capra in Oomph project catalogue,1
550068,empty action is not visible in the property sheet,1
550070,Use StringBuilder instead of StringBuffer,1
550072,EModelService#cloneElement does also clone transient data and widget ref,0
550074,Request for commit rights to SimRel repo,1
550075,OpenJ9: Git doesn't work on windows nodes after migration,1
550076,PEParser doesn't parse 64 bit executables correctly,1
550077,[13] 2 JDT UI tests failing in the Y-Build Y20190812-0900,1
550079,[release] ee4j.cdi 2.0.0,1
550080,"The ""ฏู"" character is truncated vertically in a Label on Mac OS",0
550081,[impl] JavaCore.getAllVersions() should return an immutable list (or a copy),1
550082,The check for Git-based projects seems to be too generic,1
550083,[formatter] UI changes related to blank lines settings,1
550084,"'unresolved inclusion ""Arduino.h""' problem might be due to incorrect source files?",0
550085,Integrate features from the generic editor,1
550086,two breakpoint at single line when debug executable file compiled by gcc8.1,1
550088,Provide access ci access to Jakarta EE Specification Committee,1
550089,ssh access hangs with no error on https://ci.eclipse.org/jakartaee-spec-committee/job/promote-release,1
550090,URISyntaxException if AUT Location contains Spaces,1
550092,org.eclipse.jdt.compiler.apt.tests needs version increase,1
550093,[Dark Theme] Sash is bright in forms,1
550094,Update platform to Jetty 9.4.20,1
550096,C/C++ formatter eats whitespace if function declaration includes macro resulting in joined method+macro name,1
550097,[release] technology.passage 0.6.0,1
550098,[release] technology.reddeer 2.7.0,1
550099,Closing the tree in Project Explorer should scroll to the correct top level element (Project),0
550101,[Quicksearch] Strings not externalized,1
550102,Remove outdated target milestones for Eclipse top level project,0
550103,Offer a way to add language servers via a preference page,0
550104,Text Selection in not editable CDateTime Widget should be as simple text selection,1
550105,[13][quick fix] Text Block: No Quick fix to enable preview feature when using text block,0
550106,Align Resource perspective with Java (and other) perspectives,0
550107,"[13] Text Block: Return after """""" should align below """"""",1
550108,"[13] Text Block: Return after """""" place caret on next line not after """""";",1
550109,"[13] Text Block: Closing """"""; should not be added if auto-close String preference is off",1
550110,Please reset (clear) the new repository org.eclipse.app4mc.addon.migration,1
550113,[13] Text Block: Cumbersome to enter a text block into the editor,1
550115,JGit doesn't work if SecurityManager is enabled,1
550116,Codewind PR allow merge without a review approval as a prereq,1
550117,"""JRE missing"" installation page links to JDK downloads on some of its ""Oracle JRE"" links",1
550118,Developer Mailing list for Proj4J project,1
550120,UI freeze in PreferenceDialog / FilteredPreferenceDialog,1
550122,"Eclipse for PHP Developers creates shortcut named ""Eclipse Php Latest Released""",1
550123,Deferred context updates not working properly due to unordered handling,1
550124,https://repo.locationtech.org/ is unavailable,1
550126,Update FilteredTree usage to use setUseHashlookup,0
550127,Update Show View tree usage to use setUseHashlookup,1
550128,[terminate] modeling.pmf,1
550129,[cleanup] Remove redundant array creation,1
550131,"Community product description calls bugs.eclipse.org ""Bugzilla""",1
550134,I-Build (I20190815) failed as SWT build step didn't complete,1
550135,Provide service to notarise Mac app,1
550136,Improve startup time (performance ) of the Eclipse SDK 4.14,1
550137,[13] Merge issues with BETA branch: Impact of PreviewEnabled check in DOM on JDT UI,1
550138,code recommenders cannot download model repository index,0
550139,PDE validation dialog should also be centered,1
550141,[room] improve implementation of scoping (avoid dispatching by name),1
550143,ChemClipse switch to default branch: develop,1
550145,Add Smart import wizard to quicklinks in project explorer,0
550148,Use action orientated label for closing events dialogs,1
550150,UI freeze in NewKeysPreferencePage,0
550152,Port mylyn's ControlListViewer and ControlListItem to platform,0
550153,Don't hide breakpoint icons behind light bulb icons,1
550154,Use TableViewer in QuickAccessContents instead of Table,0
550156,Performance regression in GenericPatternMatch positional accessors,1
550157,What to do when a product-component bugs are not replied/attended to?,0
550158,Error caused when trying to call class methods,0
550159,Update Liberty server adapter discovery update site URL for 2019-06,1
550161,CSS in Jenkins job attached files,0
550165,"Debugging is stuck when ""command abort"" occurs on step return",1
550167,Multi-threaded object marking can give incorrect results on OOME,1
550168,[pivot] Avoid inter-project URI navigation from deresolve,1
